DateTime || IpAddress || Questions || Answers || Intents || Entites||session
2019-05-08 08:32 || 14.142.203.106 || what is tax || A compulsory contribution to state revenue, levied by the government on workers' income and business profits, or added to the cost of some goods, services, and transactions.  || search definition || [{'entity': 'tax_service', 'text': 'tax'}]|| 14.142.203.106_f78e72b9-9aff-41d4-879d-2d9fd6d60cf4 
2019-05-08 09:23 || 14.142.203.106 || hi || Hi, how can I help you? || greet || []|| 14.142.203.106_f78e72b9-9aff-41d4-879d-2d9fd6d60cf4 
2019-05-08 11:42 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_f78e72b9-9aff-41d4-879d-2d9fd6d60cf4 
2019-05-08 11:44 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_f78e72b9-9aff-41d4-879d-2d9fd6d60cf4 
2019-05-08 11:47 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_f78e72b9-9aff-41d4-879d-2d9fd6d60cf4 
2019-05-08 12:11 || 14.142.203.106 || hi || Hi, how can I help you? || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:12 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:15 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:15 || 14.142.203.106 || what is oic || Sure, let's take a look into what Offer In Compromise(OIC) is.<br> If you aren't familiar with the term, an Offer In Compromise is also referred to as an OIC. It is a type of agreement that a taxpayer can make with the IRS. It basically enables the taxpayer to settle their tax debt that they owe for less than the original full amount. This is often only considered and accepted by the IRS if they feel that the taxpayer can't pay it as a lump sum or in installments. || search definition || [{'entity': 'tax_service', 'text': 'oic'}]|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:18 || 14.142.203.106 || hi || Hi, how can I help you? || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:19 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:32 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_42895bc7-6a0a-4d36-baad-028a22c72bfd
2019-05-08 12:32 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d6
2019-05-08 12:38 || 14.142.203.106 || hi || Hi, you can ask question related to Tax Service of US. || greet || []|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d7
2019-05-08 12:39 || 14.142.203.106 || what is oic || Sure, let's take a look into what Offer In Compromise(OIC) is.<br> If you aren't familiar with the term, an Offer In Compromise is also referred to as an OIC. It is a type of agreement that a taxpayer can make with the IRS. It basically enables the taxpayer to settle their tax debt that they owe for less than the original full amount. This is often only considered and accepted by the IRS if they feel that the taxpayer can't pay it as a lump sum or in installments. || search definition || [{'entity': 'tax_service', 'text': 'oic'}]|| 14.142.203.106_9224683f-34ef-419c-84fe-27d2cffcb0d8
